category,keyword,brand,limit
smartphones,Redmi 13C,Redmi,1
smartphones,Motorola Moto G64 5G,Motorola,1
smartphones,Redmi Note 13 Pro 5G,Redmi,1
smartphones,Nothing Phone 2a,Nothing,1
smartphones,OnePlus 12R,OnePlus,1
laptops,Acer Aspire 3 laptop,Acer,1
laptops,Lenovo IdeaPad Slim 3 laptop,Lenovo,1
laptops,HP Pavilion 14 laptop,HP,1
laptops,ASUS Vivobook 16 laptop,ASUS,1
laptops,Lenovo Legion 5 gaming laptop,Lenovo,1
laptops,Apple MacBook Air M3,Apple,1
earbuds,Noise Buds VS104,Noise,1
earbuds,realme Buds Air 6,realme,1
earbuds,OnePlus Nord Buds 3 Pro,OnePlus,1
earbuds,Sony WF-C700N earbuds,Sony,1
earbuds,Apple AirPods Pro 2nd Generation,Apple,1
smartwatches,boAt Wave Call 2 smartwatch,boAt,1
smartwatches,Fire-Boltt Phoenix smartwatch,Fire-Boltt,1
smartwatches,Amazfit Bip 5 smartwatch,Amazfit,1
smartwatches,Samsung Galaxy Fit3,Samsung,1
smartwatches,Amazfit GTR 4 smartwatch,Amazfit,1
smartwatches,Samsung Galaxy Watch 7,Samsung,1
cameras,Canon EOS 1500D DSLR camera,Canon,1
cameras,Nikon D3500 DSLR camera,Nikon,1
cameras,Canon EOS R50 mirrorless camera,Canon,1
cameras,Fujifilm X-T30 II camera,Fujifilm,1
cameras,Sony Alpha A6700 camera,Sony,1
cameras,GoPro Hero 12 Black,GoPro,1
cameras,DJI Osmo Pocket 3,DJI,1
televisions,Mi 32 inch HD Ready LED TV,Mi,1
televisions,Redmi 43 inch 4K Ultra HD TV,Redmi,1
televisions,Samsung 43 inch Crystal 4K UHD TV,Samsung,1
televisions,OnePlus 50 inch Q Series QLED TV,OnePlus,1
televisions,Sony Bravia 55 inch 4K Ultra HD TV,Sony,1
televisions,Samsung 55 inch Neo QLED 4K TV,Samsung,1
televisions,LG 65 inch C4 OLED evo TV,LG,1
home-appliances,Pigeon mixer grinder 750W,Pigeon,1
home-appliances,Bajaj air fryer,Bajaj,1
home-appliances,AGARO vacuum cleaner for home,AGARO,1
home-appliances,Samsung 28L convection microwave oven,Samsung,1
home-appliances,LG 7kg front load washing machine,LG,1
home-appliances,Aquaguard water purifier RO,Aquaguard,1
home-appliances,LG 1.5 ton 3 star split AC,LG,1
home-appliances,Samsung 253L double door refrigerator,Samsung,1
gaming,Redgear Pro wireless gamepad,Redgear,1
gaming,Logitech G502 gaming mouse,Logitech,1
gaming,Sony DualSense wireless controller,Sony,1
gaming,Nintendo Switch Lite,Nintendo,1
gaming,Xbox Series S console,Microsoft,1
gaming,Razer BlackWidow mechanical keyboard,Razer,1
gaming,ASUS ROG Ally handheld,ASUS,1
gaming,Sony PlayStation 5 Slim console,Sony,1
tablets,Lenovo Tab M11 tablet,Lenovo,1
tablets,realme Pad 2 tablet,realme,1
tablets,Samsung Galaxy Tab A9 Plus,Samsung,1
tablets,Xiaomi Pad 6 tablet,Xiaomi,1
tablets,OnePlus Pad Go tablet,OnePlus,1
tablets,Apple iPad 10th Generation,Apple,1
tablets,Samsung Galaxy Tab S9 FE,Samsung,1
tablets,Apple iPad Pro M4 11 inch,Apple,1
fitness,Boldfit resistance bands set,Boldfit,1
fitness,Kobo yoga mat,Kobo,1
fitness,Amazon Basics neoprene dumbbell,Amazon Basics,1
fitness,Lifelong skipping rope,Lifelong,1
fitness,PowerMax exercise cycle for home,PowerMax,1
fitness,Cockatoo treadmill for home,Cockatoo,1
fitness,Cultsport adjustable dumbbell,Cultsport,1
fitness,Fitkit FK717 treadmill,Fitkit,1
